Date,IYH,IYM,IYHMA10,IYHMA50,IYHsignal,IYHPosition,IYMMA10,IYMMA50,IYMsignal,IYMPosition
2008-05-16,51.9366718118,68.3601935813,51.886633672209996,51.674514437736,1.0,0.0,65.58988449728,61.544982859213995,1.0,0.0
2008-05-19,52.1240805742,67.8240047263,51.85975273711,51.686088380352,1.0,0.0,65.98542091348,61.758848225419996,1.0,0.0
2008-05-20,52.1077841601,68.1503805511,51.84753042652001,51.710655195514,1.0,0.0,66.3226759324,62.01985500838399,1.0,0.0
2008-05-21,51.8470415341,66.324230103,51.867086123469996,51.73244352416,1.0,0.0,66.55813277741,62.181712768244,1.0,0.0
2008-05-22,52.1159323671,66.0911045139,51.89886413101,51.76155876227,1.0,0.0,66.63351005123,62.34371347780199,1.0,0.0
2008-05-23,51.6433363575,65.2518523931,51.906523445640005,51.775537226176,1.0,0.0,66.695676875,62.46257661424001,1.0,0.0
2008-05-27,51.8877825694,64.7933720678,51.90570862493,51.810159781151995,1.0,0.0,66.63117879533999,62.587461603048,1.0,0.0
2008-05-28,51.8959307765,66.7904812812,51.9268939633,51.846731968674,1.0,0.0,66.69878521618,62.783911812968,1.0,0.0
2008-05-29,52.5477873414,65.788041248,51.99778336474001,51.877824905856,1.0,0.0,66.67003306019001,62.91861421776,1.0,0.0
2008-05-30,52.7270478968,66.588439104,52.08333953889,51.916238815354,1.0,0.0,66.59620995697,63.14574691871,1.0,0.0
2008-06-02,52.2870447154,66.7127727515,52.11837682925001,51.937244168008,1.0,0.0,66.43146787398999,63.378931635,1.0,0.0
2008-06-03,52.368526786,66.7593978693,52.14282145042999,51.951920366458,1.0,0.0,66.32500718829,63.579875667938005,1.0,0.0
2008-06-04,52.5477873414,66.2076673084,52.18682176856,51.967564924015996,1.0,0.0,66.13073586402001,63.73809023441599,1.0,0.0
2008-06-05,53.0040869369,68.6477151412,52.30252630884,51.996409577016,1.0,0.0,66.36308436784,63.936091568104004,1.0,0.0
2008-06-06,51.7451889458,67.3888369599,52.265451966709996,52.000239234334,1.0,0.0,66.49285761244,64.122747456454,1.0,0.0
2008-06-09,51.5048168375,68.5544649055,52.25160001471001,52.007246692407996,1.0,0.0,66.82311886368,64.33800008373599,1.0,0.0
2008-06-10,51.2359260044,67.4587746367,52.18641435821,52.01148376008,1.0,0.0,67.08965912057,64.533670161532,1.0,0.0
2008-06-11,50.4944391618,66.6117516629,52.04626519674,51.977098326278,1.0,0.0,67.07178615874,64.689087220942,1.0,0.0
2008-06-12,50.6329586819,66.2387507203,51.85478233079,51.951349991964,0.0,-1.0,67.11685710597001,64.822901309094,1.0,0.0
2008-06-13,51.2196295903,68.2591724926,51.70404050014,51.938475824806,0.0,0.0,67.28393044483,64.974743776136,1.0,0.0
2008-06-16,51.1055546915,68.3835061402,51.585891497750005,51.914520096046,0.0,0.0,67.4510037837,65.101408679556,1.0,0.0
2008-06-17,50.9018495149,68.8652990243,51.43922377064,51.881438375374,0.0,0.0,67.6615938992,65.241128615964,1.0,0.0
2008-06-18,50.510735576,69.1450497313,51.23551859409999,51.842164017338,0.0,0.0,67.95533214149,65.374631869998,1.0,0.0
2008-06-19,50.7633299949,68.6632568471,51.011442899900004,51.814786041611995,0.0,0.0,67.95688631208,65.50580386814,1.0,0.0
2008-06-20,50.0870288087,67.7229836377,50.845626886190004,51.763452337122,0.0,0.0,67.99030097986001,65.614129558548,1.0,0.0
2008-06-23,50.1766590864,68.686569406,50.71281111108,51.729555795744005,0.0,0.0,68.00351142991,65.756957836146,1.0,0.0
2008-06-24,50.2662893641,67.0313777233,50.61584744705,51.699896322040004,0.0,0.0,67.96077173857,65.86808103362401,1.0,0.0
2008-06-25,50.7109133937,66.9669573522,50.63749487024,51.683855289023995,0.0,0.0,67.9962923075,65.96983413659,1.0,0.0
2008-06-26,49.7701560069,65.2134876205,50.551214602740004,51.64215461434,0.0,0.0,67.89376599751999,65.97947978411999,1.0,0.0
2008-06-27,49.9583074843,65.8447367239,50.42508239214,51.6117133197,0.0,0.0,67.65232242065,66.010764603162,1.0,0.0
2008-06-30,50.4000544311,65.8265006387,50.3545323661,51.581632828652,0.0,0.0,67.39662187050001,66.02287923631201,1.0,0.0
2008-07-01,50.7354548907,65.15114203,50.33789290368,51.56282334275,0.0,0.0,67.02520617107,66.014337512556,1.0,0.0
2008-07-02,50.5391229143,60.6856391134,50.34073163751,51.551494707206004,0.0,0.0,66.17926510928001,65.93233827052799,1.0,0.0
2008-07-03,50.5554839124,60.8181234931,50.31994702926,51.528596909314004,0.0,0.0,65.39475177388,65.87474710441,0.0,-1.0
2008-07-07,50.32642994,60.8415030895,50.343887142389995,51.499978912628,0.0,0.0,64.70660371906,65.842490259726,0.0,0.0
2008-07-08,51.6843927764,60.2648063778,50.49466051139,51.490044407683996,0.0,0.0,63.86442741623999,65.76139938655,0.0,0.0
2008-07-09,51.6680317784,60.2180471849,50.63483475282,51.476197471671995,0.0,0.0,63.183094362400006,65.69258377956601,0.0,0.0
2008-07-10,51.8480027567,61.7299277536,50.748543689120005,51.473283341582004,0.0,0.0,62.659391402539995,65.695346721758,0.0,0.0
2008-07-11,51.3489923168,62.0650353023,50.90642732011,51.464627700007995,0.0,0.0,62.344546170719994,65.694398871944,0.0,0.0
