,IVV
2014-10-01,169.1687651513
2014-10-02,169.1860572667
2014-10-03,171.0363136166
2014-10-06,170.8115161162
2014-10-07,168.2176988032
2014-10-08,171.1400663091
2014-10-09,167.6470589944
2014-10-10,165.8313868753
2014-10-13,163.0300641773
2014-10-14,163.4104907165
2014-10-15,162.1049360023
2014-10-16,162.0530596561
2014-10-17,164.0762371602
2014-10-20,165.6411736057
2014-10-21,168.9007373623
2014-10-22,167.7335195715
2014-10-23,169.7048207293
2014-10-24,170.9152688087
2014-10-27,170.6991173659
2014-10-28,172.635834293
2014-10-29,172.4369749656
2014-10-30,173.6214848719
2014-10-31,175.5063254526
2014-11-03,175.6100781451
2014-11-04,175.0221462209
2014-11-05,176.1461337232
2014-11-06,176.8118801668
2014-11-07,177.0366776673
2014-11-10,177.5035647836
2014-11-11,177.6937780532
2014-11-12,177.5554411299
2014-11-13,177.6678398801
2014-11-14,177.7456543995
2014-11-17,177.8148228612
2014-11-18,178.8955800749
2014-11-19,178.6275522859
2014-11-20,178.9042261326
2014-11-21,179.8725845961
2014-11-24,180.4259322895
2014-11-25,180.3048874816
2014-11-26,180.7371903671
2014-11-28,180.3394717124
2014-12-01,179.1290236331
2014-12-02,180.2530111353
2014-12-03,180.9619878676
2014-12-04,180.7458364248
2014-12-05,181.0830326755
2014-12-08,179.8207082499
2014-12-09,179.6996634419
2014-12-10,176.8982542833
2014-12-11,177.7110701686
2014-12-12,174.8665171821
2014-12-15,173.6301309296
2014-12-16,172.2813459269
2014-12-17,175.6273702606
2014-12-18,179.9331070001
2014-12-19,180.711252194
2014-12-22,181.5585658495
2014-12-23,181.843885754
2014-12-24,181.9071895947
2014-12-26,182.3939210495
2014-12-29,182.7068198419
2014-12-30,181.6638238673
2014-12-31,179.8038143794
2015-01-02,179.6821315157
2015-01-05,176.5270686926
2015-01-06,174.9364998315
2015-01-07,177.1007164786
2015-01-08,180.2644709348
2015-01-09,178.7434351386
2015-01-12,177.3875403716
2015-01-13,176.9268838162
2015-01-14,175.8578129423
2015-01-15,174.2064026493
2015-01-16,176.4401523614
2015-01-20,176.8747340175
2015-01-21,177.7438973296
2015-01-22,180.351387266
2015-01-23,179.3866159895
2015-01-26,179.8646558112
2015-01-27,177.4483818035
2015-01-28,175.1537906595
2015-01-29,176.8312758519
2015-01-30,174.5888345066
2015-02-02,176.7095929882
2015-02-03,179.2214749602
2015-02-04,178.5869857424
2015-02-05,180.4556868635
2015-02-06,179.8733474443
2015-02-09,179.0997920965
2015-02-10,181.0380262826
2015-02-11,181.1249426138
2015-02-12,182.8111194393
2015-02-13,183.6368245858
2015-02-17,183.9671066444
2015-02-18,183.932340112
2015-02-19,183.7845823489
2015-02-20,184.9058030215
2015-02-23,184.8449615897
2015-02-24,185.4012261094
2015-02-25,185.2621599795
2015-02-26,185.0535607846
2015-02-27,184.4451464661
2015-03-02,185.6185169375
2015-03-03,184.7841201578
