,IVV
2004-01-06 00:00:00+00:00,78.7582998252
2004-01-07 00:00:00+00:00,79.0310376776
2004-01-08 00:00:00+00:00,79.3107688082
2004-01-09 00:00:00+00:00,78.6603939295
2004-01-12 00:00:00+00:00,79.2338427473
2004-01-13 00:00:00+00:00,78.7582998252
2004-01-14 00:00:00+00:00,79.4506343735
2004-01-15 00:00:00+00:00,79.5974932171
2004-01-16 00:00:00+00:00,79.9541504086
2004-01-20 00:00:00+00:00,79.8982041825
2004-01-21 00:00:00+00:00,80.464659722
2004-01-22 00:00:00+00:00,80.3457739915
2004-01-23 00:00:00+00:00,79.9891167999
2004-01-26 00:00:00+00:00,81.1010480441
2004-01-27 00:00:00+00:00,80.2758412088
2004-01-28 00:00:00+00:00,79.331748643
2004-01-29 00:00:00+00:00,79.4366478169
2004-01-30 00:00:00+00:00,79.4506343735
2004-02-02 00:00:00+00:00,79.7443520606
2004-02-03 00:00:00+00:00,79.7093856693
2004-02-04 00:00:00+00:00,78.989078008
2004-02-05 00:00:00+00:00,79.1639099646
2004-02-06 00:00:00+00:00,80.0800294174
2004-02-09 00:00:00+00:00,80.1359756435
2004-02-10 00:00:00+00:00,80.3317874349
2004-02-11 00:00:00+00:00,81.2059472181
2004-02-12 00:00:00+00:00,80.9192228092
2004-02-13 00:00:00+00:00,80.5485790612
2004-02-17 00:00:00+00:00,81.3178396703
2004-02-18 00:00:00+00:00,80.8632765831
2004-02-19 00:00:00+00:00,80.6534782351
2004-02-20 00:00:00+00:00,80.4227000524
2004-02-23 00:00:00+00:00,80.1919218696
2004-02-24 00:00:00+00:00,80.0800294174
2004-02-25 00:00:00+00:00,80.3947269393
2004-02-26 00:00:00+00:00,80.3527672697
2004-02-27 00:00:00+00:00,80.4506731654
2004-03-01 00:00:00+00:00,81.2688867225
2004-03-02 00:00:00+00:00,80.83530347
2004-03-03 00:00:00+00:00,80.9262160875
2004-03-04 00:00:00+00:00,81.1919606616
2004-03-05 00:00:00+00:00,81.4507119574
2004-03-08 00:00:00+00:00,80.4087134958
2004-03-09 00:00:00+00:00,80.1359756435
2004-03-10 00:00:00+00:00,78.8142460513
2004-03-11 00:00:00+00:00,77.7093080854
2004-03-12 00:00:00+00:00,78.7513065469
2004-03-15 00:00:00+00:00,77.8631602072
2004-03-16 00:00:00+00:00,78.226810677
2004-03-17 00:00:00+00:00,79.0310376776
2004-03-18 00:00:00+00:00,79.0660040689
2004-03-19 00:00:00+00:00,78.0240056073
2004-03-22 00:00:00+00:00,77.0239668154
2004-03-23 00:00:00+00:00,76.8980878066
2004-03-24 00:00:00+00:00,76.856128137
2004-03-25 00:00:00+00:00,77.9470795464
2004-03-26 00:00:00+00:00,77.9680593812
2004-03-29 00:00:00+00:00,79.044394839
2004-03-30 00:00:00+00:00,79.3531620064
2004-03-31 00:00:00+00:00,79.4584235407
2004-04-01 00:00:00+00:00,79.8864871136
2004-04-02 00:00:00+00:00,80.4970040127
2004-04-05 00:00:00+00:00,80.9461198924
2004-04-06 00:00:00+00:00,80.7285793882
2004-04-07 00:00:00+00:00,80.5040214483
2004-04-08 00:00:00+00:00,80.3215681221
2004-04-12 00:00:00+00:00,80.5812132401
2004-04-13 00:00:00+00:00,79.5356153325
2004-04-14 00:00:00+00:00,79.6268419956
2004-04-15 00:00:00+00:00,79.2689527789
2004-04-16 00:00:00+00:00,79.9005219848
2004-04-19 00:00:00+00:00,79.9566614698
2004-04-20 00:00:00+00:00,78.5882615237
2004-04-21 00:00:00+00:00,79.0935168884
2004-04-22 00:00:00+00:00,80.1601671028
2004-04-23 00:00:00+00:00,80.342620429
2004-04-26 00:00:00+00:00,80.2233240234
2004-04-27 00:00:00+00:00,80.2513937659
2004-04-28 00:00:00+00:00,79.2198307296
2004-04-29 00:00:00+00:00,78.5040522962
2004-04-30 00:00:00+00:00,77.970727189
2004-05-03 00:00:00+00:00,78.7286102361
2004-05-04 00:00:00+00:00,78.897028691
2004-05-05 00:00:00+00:00,79.0864994528
2004-05-06 00:00:00+00:00,78.5391394743
2004-05-07 00:00:00+00:00,77.2619661912
2004-05-10 00:00:00+00:00,76.4058390454
2004-05-11 00:00:00+00:00,77.0233733801
2004-05-12 00:00:00+00:00,77.5356461804
2004-05-13 00:00:00+00:00,77.2058267062
2004-05-14 00:00:00+00:00,77.2409138844
2004-05-17 00:00:00+00:00,76.5742575003
2004-05-18 00:00:00+00:00,76.9251292814
2004-05-19 00:00:00+00:00,76.6584667278
2004-05-20 00:00:00+00:00,76.9672338951
2004-05-21 00:00:00+00:00,77.13565235
2004-05-24 00:00:00+00:00,77.4163497749
2004-05-25 00:00:00+00:00,78.4549302468
2004-05-26 00:00:00+00:00,78.7847497211
2004-05-27 00:00:00+00:00,79.2479004721
2004-05-28 00:00:00+00:00,79.2759702145
2004-06-01 00:00:00+00:00,79.1075517596
2004-06-02 00:00:00+00:00,79.4373712338
2004-06-03 00:00:00+00:00,78.7566799786
2004-06-04 00:00:00+00:00,79.304039957
2004-06-07 00:00:00+00:00,80.4829691414
2004-06-08 00:00:00+00:00,80.6654224676
2004-06-09 00:00:00+00:00,79.9215742917
2004-06-10 00:00:00+00:00,80.2654286372
2004-06-14 00:00:00+00:00,79.4724584119
2004-06-15 00:00:00+00:00,80.0338532617
2004-06-16 00:00:00+00:00,79.9987660835
2004-06-17 00:00:00+00:00,79.9075394205
2004-06-18 00:00:00+00:00,80.1110450535
2004-06-21 00:00:00+00:00,79.7391209656
2004-06-22 00:00:00+00:00,80.1812194097
2004-06-23 00:00:00+00:00,80.8408583581
2004-06-24 00:00:00+00:00,80.602265547
2004-06-25 00:00:00+00:00,80.1601671028
2004-06-28 00:00:00+00:00,79.9180655739
2004-06-29 00:00:00+00:00,80.2701895851
2004-06-30 00:00:00+00:00,80.6856959182
2004-07-01 00:00:00+00:00,79.5659415627
2004-07-02 00:00:00+00:00,79.572984043
2004-07-06 00:00:00+00:00,78.8335236195
2004-07-07 00:00:00+00:00,79.0659254669
2004-07-08 00:00:00+00:00,78.5447819304
2004-07-09 00:00:00+00:00,78.6715465744
2004-07-12 00:00:00+00:00,78.7490138568
2004-07-13 00:00:00+00:00,78.8194386591
2004-07-14 00:00:00+00:00,78.6222492128
2004-07-15 00:00:00+00:00,77.9954684729
2004-07-16 00:00:00+00:00,78.0025109532
2004-07-19 00:00:00+00:00,77.7278542245
2004-07-20 00:00:00+00:00,78.6785890546
2004-07-21 00:00:00+00:00,77.1855832473
2004-07-22 00:00:00+00:00,77.4743249364
2004-07-23 00:00:00+00:00,76.8123317954
2004-07-26 00:00:00+00:00,76.608099869
2004-07-27 00:00:00+00:00,77.3264328517
2004-07-28 00:00:00+00:00,77.5517922189
2004-07-29 00:00:00+00:00,77.8827887894
2004-07-30 00:00:00+00:00,78.1574455181
2004-08-02 00:00:00+00:00,78.2137853599
2004-08-03 00:00:00+00:00,77.6715143827
2004-08-04 00:00:00+00:00,77.6222170211
2004-08-05 00:00:00+00:00,76.3334431402
2004-08-06 00:00:00+00:00,75.3193259881
2004-08-09 00:00:00+00:00,75.3897507903
2004-08-10 00:00:00+00:00,76.1644236149
2004-08-11 00:00:00+00:00,76.2137209764
2004-08-12 00:00:00+00:00,75.3756658299
2004-08-13 00:00:00+00:00,75.537642875
2004-08-16 00:00:00+00:00,76.2700608182
2004-08-17 00:00:00+00:00,76.7489494734
2004-08-18 00:00:00+00:00,77.5517922189
2004-08-19 00:00:00+00:00,77.3123478913
2004-08-20 00:00:00+00:00,77.7912365465
2004-08-23 00:00:00+00:00,77.6715143827
2004-08-24 00:00:00+00:00,77.6433444618
2004-08-25 00:00:00+00:00,78.2137853599
2004-08-26 00:00:00+00:00,78.2560402412
2004-08-27 00:00:00+00:00,78.5236544897
2004-08-30 00:00:00+00:00,77.9180011905
