,IDU,IYH,IYK,IYE,IYF,IYC,IYZ,IYW,IYM,IYJ
2013-11-06,0.0,0.0,0.0,0.0,0.0,0.2707242052334183,0.2712799591656792,0.23429255250484088,0.2229188854080843,0.0
2013-11-07,0.0,0.0,0.0,0.0,0.0,0.27004977012340786,0.2702404333059957,0.23504621703858009,0.22386534842855488,0.0
2013-11-08,0.0,0.0,0.0,0.0,0.0,0.27056418463976795,0.26839952355314894,0.2347234740853923,0.22552413626206408,0.0
2013-11-11,0.0,0.0,0.0,0.0,0.0,0.2716647396304729,0.2670991211905557,0.235027270721085,0.22541964178021048,0.0
2013-11-12,0.0,0.0,0.0,0.0,0.0,0.2717443915946376,0.2668535850612189,0.23588021996722242,0.22473275349801028,0.0
2013-11-13,0.0,0.0,0.0,0.0,0.0,0.2728793624985664,0.26514037439502963,0.2367618360219446,0.22443526043897846,0.0
2013-11-14,0.0,0.0,0.0,0.0,0.0,0.274181595561077,0.2639311504822513,0.23524358481909663,0.22586162784752545,0.0
2013-11-15,0.0,0.0,0.0,0.0,0.0,0.27349147433983156,0.264397994599026,0.2351044174976097,0.22622676508124573,0.0
2013-11-18,0.0,0.0,0.0,0.0,0.0,0.2729977184902636,0.26633761737683914,0.2341704539571295,0.2257105035816055,0.0
2013-11-19,0.0,0.0,0.0,0.0,0.0,0.27422557926457486,0.2665211658197767,0.23511323863470132,0.2233500251948553,0.0
2013-11-20,0.0,0.0,0.0,0.0,0.0,0.27349399398910007,0.26494415877797767,0.23521223900691954,0.22555766204480018,0.0
2013-11-21,0.0,0.0,0.0,0.0,0.0,0.2735053771829486,0.26440812822458076,0.2358812006907527,0.22542019684012807,0.0
2013-11-22,0.0,0.0,0.0,0.0,0.0,0.27523920638249016,0.2627971615053219,0.2348971885824739,0.22628284431943305,0.0
2013-11-25,0.0,0.0,0.0,0.0,0.0,0.27615432507831,0.2624312719274855,0.23522544340849288,0.22540341946268969,0.0
2013-11-26,0.0,0.0,0.0,0.0,0.0,0.2763632424371551,0.26320973485722926,0.2355056474786612,0.22413874268343845,0.0
2013-11-27,0.0,0.0,0.0,0.0,0.0,0.2760263350773881,0.2628515080322261,0.23687672425209158,0.2234660468784787,0.0
2013-11-29,0.0,0.0,0.0,0.0,0.0,0.27611550080754893,0.2619649197480667,0.23794041754889592,0.22320050315635317,0.0
2013-12-02,0.0,0.0,0.0,0.0,0.0,0.27632687093381303,0.26089930267473305,0.23802478493172624,0.22396670917638362,0.0
2013-12-03,0.0,0.0,0.0,0.0,0.0,0.27542806068417364,0.26181059712728033,0.23964485976984962,0.2223314175290843,0.0
2013-12-04,0.0,0.0,0.0,0.0,0.0,0.2743197955683307,0.26123268316757053,0.2404377199164926,0.22322563929606642,0.0
2013-12-05,0.0,0.0,0.0,0.0,0.0,0.27429546321896126,0.26090991196030255,0.24102444707126472,0.22298281274627235,0.0
2013-12-06,0.0,0.0,0.0,0.0,0.0,0.27418267854755574,0.26100922024824225,0.2402539464323092,0.2237736960197232,0.0
2013-12-09,0.0,0.0,0.0,0.0,0.0,0.27343613113849974,0.2604597176368371,0.2406681579127309,0.22465772534960757,0.0
2013-12-10,0.0,0.0,0.0,0.0,0.0,0.2741063226428771,0.2585056809197271,0.2408179671942369,0.22578991964611395,0.0
2013-12-11,0.0,0.0,0.0,0.0,0.0,0.2752102281853706,0.25900058901732037,0.24064423035299792,0.2243554996579555,0.0
2013-12-12,0.0,0.0,0.0,0.0,0.0,0.27519214976895406,0.2593673386648157,0.240024018580295,0.22462507071760607,0.0
2013-12-13,0.0,0.0,0.0,0.0,0.0,0.27522591038040917,0.2604395011353848,0.23870346219374955,0.22484209873806868,0.0
2013-12-16,0.0,0.0,0.0,0.0,0.0,0.2750996340933646,0.2594922776340871,0.2400316477166435,0.22459112262420647,0.0
2013-12-17,0.0,0.0,0.0,0.0,0.0,0.2733805883924632,0.2603940899294532,0.23998024987547503,0.22546093417726032,0.0
2013-12-18,0.0,0.0,0.0,0.0,0.0,0.2748360043435225,0.26018199831650235,0.23876368834820028,0.22544332335624323,0.0
2013-12-19,0.0,0.0,0.0,0.0,0.0,0.2738559626659897,0.26243166720284794,0.23768718402687186,0.22525270540864822,0.0
2013-12-20,0.0,0.0,0.0,0.0,0.0,0.27348094241544657,0.26332379382882853,0.2384102025928148,0.2240184516782381,0.0
