,IYC,IDU,IYZ,IYW,IYJ,IYH,IYF,IYE,IYK,IYM,IYR
2018-01-24,47.3903775742,56.2491103019,26.490726996,42.3653698842,74.3663850348,176.7150648845,58.4200583672,35.3630793071,119.6558107779,99.3962351405,69.8657639671
2018-01-25,47.4242953333,57.0777367102,26.5808621678,42.2074170884,74.5906388585,178.3285133386,58.331831588,35.0552849213,118.730731408,100.1397319906,69.7329224841
2018-01-26,47.8385765339,57.0821678675,26.7971865802,42.9096995191,75.4351692159,181.8950836053,58.6522341019,35.2632541009,119.3810347274,100.4185433093,69.7594907807
2018-01-29,47.8773396872,56.3643203908,26.5988892022,42.5524831962,74.8578349038,181.4893626491,58.3086140145,34.7142154666,118.5109105676,99.5356407999,68.865024795
2018-01-30,47.5478528844,56.435218907,26.6259297537,42.1126454109,74.242329728,177.7152142186,57.7188876484,33.9821639543,118.0895872902,98.5133326311,68.4930686426
2018-01-31,47.3395009355,57.006838194,26.6349432709,42.3993904864,74.4236413302,175.1770993991,57.9185587802,34.015439023,118.2727713239,98.5690948948,69.5735127044
2018-02-01,46.8501161255,56.098450955,26.6079027194,42.3799501423,74.0657894838,175.5450788711,58.2575353529,34.3897835464,117.5949903994,97.3609125135,68.4133637528
2018-02-02,46.3074319796,55.6509040714,26.1572268603,41.1381981628,72.2335880304,173.2522836996,57.1105872234,32.9173617545,115.4059411973,94.4891559302,67.7137319422
2018-02-05,44.6866476334,54.7114987315,25.147712936,39.4833388711,69.2562606685,165.4775379329,54.5705846857,31.5447651688,111.3300964487,91.4036440025,65.5351316208
2018-02-06,45.6387675857,53.9670643113,25.2829156937,40.613308872,70.3870725031,167.3174352927,55.4342784188,31.819284486,113.1619367851,94.1824634796,65.7653901913
2018-02-07,45.6121179178,53.7676622344,25.3910778999,40.032528592,70.5540700314,167.1287278712,55.41570436,31.2702458517,113.1344591801,93.0486307833,65.5085633242
2018-02-08,43.7708681373,53.1473002175,24.4356450787,38.3873894723,67.5767426695,161.1278318668,53.1403821599,30.2886313238,110.0111714064,89.8515943281,63.577933771
2018-02-09,43.9186526591,54.2949699488,24.4987396989,39.3278161183,68.6693836405,163.3734501829,54.1851729661,30.2719937894,110.4691314905,91.3014131856,64.8974925023
2018-02-12,44.4831410787,54.6538936871,24.8232263175,40.0859895383,69.6522833785,165.1567353163,54.8352650233,30.8127136565,111.9895589698,93.3924980764,65.0923266774
2018-02-13,44.827164064,54.8267088204,24.7961857659,40.2172118609,69.900393992,165.1001230898,55.0860148168,30.6796133815,112.0628325833,93.1136867576,65.588268214
2018-02-14,45.4158794543,54.2772453197,24.9043479721,41.0555767003,70.8451228664,167.3268706638,56.084370476,31.1454643439,112.5207926674,94.7029112746,65.2694486547
2018-02-15,45.8834599907,55.4204838937,25.4091049343,41.8672110666,71.8280226045,169.1195911683,56.4883562544,31.0789142064,113.9404689281,95.2791213334,65.9159438721
2018-02-16,45.8834599907,55.9123423499,25.6164158294,41.7335587009,71.9425351953,170.3367540371,56.5626524895,31.0123640689,113.858036113,95.2512402015,66.4738781008
2018-02-20,45.4522199105,55.2033571878,25.3820643827,41.8672110666,71.2459169344,168.4308090797,56.3026156666,30.837669958,112.4017230455,94.8794917765,65.6502609061
2018-02-21,45.5321689141,54.5120966547,24.8592803862,41.6630874535,71.2172887867,167.7703331044,56.084370476,30.3219063925,111.5132804823,94.6471490109,64.5609607453
2018-02-22,45.362216714,54.7558103042,24.5933816293,41.6825277976,71.5369697694,167.3834828903,55.8150466237,30.6796133815,111.7147829193,95.1861842271,65.1631754683
2018-02-23,46.0021721476,56.1782117857,25.4902265889,42.5524831962,72.2240453145,169.9027269676,56.6601662981,31.3617522907,112.7864095162,96.5988282422,66.2701878268
2018-02-26,46.3583086183,55.9655162371,25.6975374841,43.2377553258,72.9874625867,171.9218963779,57.3381194434,31.5364464016,113.8030809029,96.9055206929,66.5004463974
2018-02-27,45.5127873375,55.0615601553,25.3640373484,42.8513784868,72.1286181554,170.4122370057,56.6787403569,31.0955517408,112.2551758186,95.6229886265,65.1011827763
2018-02-28,45.4183021514,54.7070675743,25.1657399704,42.5719235403,71.2506882923,167.5061427143,56.084370476,30.38845653,110.6523155242,93.5783722889,64.9417729966
2018-03-01,44.9361854326,54.7425168324,25.2648886594,41.8842213677,69.9671930033,164.873674184,55.3089035221,30.3468626941,109.9104201879,92.9742810983,64.7380827227
2018-03-02,45.0670110749,54.55197707,25.2829156937,42.3556497122,70.0864769521,166.7701837703,55.4807135658,30.5465131065,111.0003651881,92.955693677,64.6229534374
2018-03-05,45.5394370054,55.6154548133,25.5893752779,42.7857673254,70.8498942244,168.3930675954,56.2422499756,30.9042200955,111.8704893479,94.2939880071,65.3491535446
2018-03-06,45.7623251367,54.9241942802,25.8147132074,42.9583003793,71.1743465651,168.2704077714,56.4697821956,30.9042200955,112.2368574152,95.3906458609,65.7653901913
2018-03-07,45.5103646404,54.5918574854,25.8868213449,43.2377553258,71.2029747128,169.0535435707,56.5347914013,30.6297007784,111.5590764907,95.1861842271,66.1019219483
2018-03-08,45.6290767973,54.955212381,25.8687943105,43.4029982507,71.4701707581,170.327318666,56.6787403569,30.613063244,112.7314543061,95.1675968059,66.4384537053
